player_id,player_name,player_url,position,year,week,opponent,result,snap_count,snap_percent,rush_att,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles
9993171,Breece Hall,https://dynastyleaguefootball.com/player/9993171/Breece_Hall,RB,2022,1,BAL,L9-24,38,45.2,6,23,0,9,6,38,0,1
9993171,Breece Hall,https://dynastyleaguefootball.com/player/9993171/Breece_Hall,RB,2022,2,CLE,W31-30,19,27.1,7,50,0,1,1,10,1,0
9993171,Breece Hall,https://dynastyleaguefootball.com/player/9993171/Breece_Hall,RB,2022,3,CIN,L12-27,40,51.3,8,39,0,11,6,53,0,0
9993171,Breece Hall,https://dynastyleaguefootball.com/player/9993171/Breece_Hall,RB,2022,4,PIT,W24-20,46,65.7,17,66,1,6,2,12,0,0
9993171,Breece Hall,https://dynastyleaguefootball.com/player/9993171/Breece_Hall,RB,2022,5,MIA,W40-17,41,69.5,18,97,1,2,2,100,0,0
9993171,Breece Hall,https://dynastyleaguefootball.com/player/9993171/Breece_Hall,RB,2022,6,GB,W27-10,37,67.3,20,116,1,2,2,5,0,0
9993171,Breece Hall,https://dynastyleaguefootball.com/player/9993171/Breece_Hall,RB,2022,7,DEN,W16-9,12,20.3,4,72,1,0,0,0,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,1,JAC,L20-27,26,35.1,9,22,0,6,6,67,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,2,MIN,W28-11,49,67.1,26,101,1,2,2,9,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,3,NYJ,W36-7,24,40.0,13,59,1,1,1,3,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,4,CHI,W19-11,33,45.8,17,68,0,1,1,11,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,5,CLE,L23-32,31,55.4,12,57,1,3,2,17,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,6,CIN,W31-27,37,58.7,12,60,0,4,4,55,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,8,DET,W41-21,26,33.8,11,22,0,3,2,9,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,9,BAL,L10-24,21,30.9,6,27,1,2,2,7,0,1
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,10,TEN,W34-17,17,24.3,7,12,0,2,2,25,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,11,GB,W34-31,47,56.0,22,90,0,4,4,24,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,13,HOU,W26-20,33,47.8,13,91,0,3,3,44,1,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,14,LV,W44-27,34,55.7,20,150,2,2,2,15,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,15,HOU,W27-20,38,70.4,16,83,1,5,4,12,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,16,PIT,L24-28,40,58.0,18,74,2,1,0,0,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,17,JAC,W28-14,55,82.1,30,253,2,2,1,1,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,WC,BUF,L24-27,48,60.8,21,78,1,4,2,6,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,1,SEA,L16-28,42,55.3,17,56,0,7,6,60,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,2,LAR,L24-27,30,44.8,15,51,0,1,1,2,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,3,TEN,L16-25,29,48.3,10,64,0,3,1,8,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,4,MIA,W27-17,36,50.7,16,103,1,3,3,11,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,5,BAL,L25-31,36,52.2,15,53,1,4,3,116,1,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,6,HOU,W31-3,31,64.6,14,145,2,2,1,13,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,7,SF,W30-18,47,69.1,18,107,1,3,3,3,0,1
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,8,TEN,L31-34,59,73.8,16,70,1,4,3,52,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,9,NYJ,W45-30,43,69.4,19,172,2,2,2,28,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,10,JAC,W23-17,54,84.4,21,116,1,8,6,10,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,11,BUF,W41-15,57,82.6,32,185,4,3,3,19,1,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,12,TB,L31-38,49,71.0,16,83,1,5,4,14,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,13,HOU,W31-0,55,76.4,32,143,2,0,0,0,0,1
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,15,NE,W27-17,51,98.1,29,170,1,0,0,0,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,16,ARI,W22-16,55,78.6,27,108,0,2,0,0,0,0
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,17,LV,L20-23,42,71.2,20,108,1,2,1,6,0,0
