rank,player_id,position,player_name,team,age,player_url
1,9993288,RB,Bijan Robinson,ATL,21,https://dynastyleaguefootball.com/player/9993288/Bijan_Robinson
2,9993171,RB,Breece Hall,NYJ,22,https://dynastyleaguefootball.com/player/9993171/Breece_Hall
3,9992257,RB,Jonathan Taylor,IND,24,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor
4,9990905,RB,Christian McCaffrey,SF,27,https://dynastyleaguefootball.com/player/9990905/Christian_McCaffrey
5,9992207,RB,Saquon Barkley,NYG,26,https://dynastyleaguefootball.com/player/9992207/Saquon_Barkley
6,9993317,RB,Jahmyr Gibbs,DET,21,https://dynastyleaguefootball.com/player/9993317/Jahmyr_Gibbs
7,9992167,RB,Austin Ekeler,LAC,28,https://dynastyleaguefootball.com/player/9992167/Austin_Ekeler
8,9992398,RB,Travis Etienne,JAC,24,https://dynastyleaguefootball.com/player/9992398/Travis_Etienne
9,9993526,RB,Kenneth Walker,SEA,22,https://dynastyleaguefootball.com/player/9993526/Kenneth_Walker
10,9992269,RB,Josh Jacobs,LV,25,https://dynastyleaguefootball.com/player/9992269/Josh_Jacobs
11,9992731,RB,Tony Pollard,DAL,26,https://dynastyleaguefootball.com/player/9992731/Tony_Pollard
12,9992208,RB,Nick Chubb,CLE,27,https://dynastyleaguefootball.com/player/9992208/Nick_Chubb
13,9993598,RB,Rhamondre Stevenson,NE,25,https://dynastyleaguefootball.com/player/9993598/Rhamondre_Stevenson
14,9992220,RB,Najee Harris,PIT,25,https://dynastyleaguefootball.com/player/9992220/Najee_Harris
15,17959,RB,Derrick Henry,TEN,29,https://dynastyleaguefootball.com/player/17959/Derrick_Henry
16,9993535,RB,Javonte Williams,DEN,23,https://dynastyleaguefootball.com/player/9993535/Javonte_Williams
17,9992229,RB,JK Dobbins,BAL,24,https://dynastyleaguefootball.com/player/9992229/JK_Dobbins
18,9900099,RB,Joe Mixon,CIN,27,https://dynastyleaguefootball.com/player/9900099/Joe_Mixon
19,9992223,RB,D'Andre Swift,PHI,24,https://dynastyleaguefootball.com/player/9992223/DAndre_Swift
20,9992517,RB,Dameon Pierce,HOU,23,https://dynastyleaguefootball.com/player/9992517/Dameon_Pierce
21,9992218,RB,Miles Sanders,CAR,26,https://dynastyleaguefootball.com/player/9992218/Miles_Sanders
22,9991798,RB,Aaron Jones,GB,28,https://dynastyleaguefootball.com/player/9991798/Aaron_Jones
23,9992510,RB,James Cook,BUF,23,https://dynastyleaguefootball.com/player/9992510/James_Cook
24,9900098,RB,Dalvin Cook,FA,27,https://dynastyleaguefootball.com/player/9900098/Dalvin_Cook
25,9993943,RB,Rachaad White,TB,24,https://dynastyleaguefootball.com/player/9993943/Rachaad_White
26,9992211,RB,Cam Akers,LAR,24,https://dynastyleaguefootball.com/player/9992211/Cam_Akers
27,9900406,RB,Alvin Kamara,NO,28,https://dynastyleaguefootball.com/player/9900406/Alvin_Kamara
28,9992466,RB,Alexander Mattison,MIN,25,https://dynastyleaguefootball.com/player/9992466/Alexander_Mattison
29,9992451,RB,AJ Dillon,GB,25,https://dynastyleaguefootball.com/player/9992451/AJ_Dillon
30,9992419,RB,David Montgomery,DET,26,https://dynastyleaguefootball.com/player/9992419/David_Montgomery
31,9992843,RB,Zach Charbonnet,SEA,22,https://dynastyleaguefootball.com/player/9992843/Zach_Charbonnet
32,9994022,RB,Isiah Pacheco,KC,24,https://dynastyleaguefootball.com/player/9994022/Isiah_Pacheco
33,9993330,RB,Devon Achane,MIA,21,https://dynastyleaguefootball.com/player/9993330/Devon_Achane
34,9900362,RB,James Conner,ARI,28,https://dynastyleaguefootball.com/player/9900362/James_Conner
35,9993962,RB,Kendre Miller,NO,21,https://dynastyleaguefootball.com/player/9993962/Kendre_Miller
36,9993591,RB,Khalil Herbert,CHI,25,https://dynastyleaguefootball.com/player/9993591/Khalil_Herbert
37,9993259,RB,Antonio Gibson,WAS,25,https://dynastyleaguefootball.com/player/9993259/Antonio_Gibson
38,9992268,RB,Brian Robinson,WAS,24,https://dynastyleaguefootball.com/player/9992268/Brian_Robinson
39,9992227,RB,Damien Harris,BUF,26,https://dynastyleaguefootball.com/player/9992227/Damien_Harris
40,9992887,RB,Elijah Mitchell,SF,25,https://dynastyleaguefootball.com/player/9992887/Elijah_Mitchell
41,9992400,RB,Rashaad Penny,PHI,27,https://dynastyleaguefootball.com/player/9992400/Rashaad_Penny
