player_id,player_name,player_url,position,year,team,games_played,snap_count,snap_percent,rush_att,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles
9993171,Breece Hall,https://dynastyleaguefootball.com/player/9993171/Breece_Hall,RB,2022,NYJ,7,233,49.1,80,463,4,31,19,218,1,1
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2020,IND,15,511,50.2,232,1169,11,41,36,299,1,1
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2021,IND,16,716,67.8,317,1734,18,49,37,342,2,2
9992257,Jonathan Taylor,https://dynastyleaguefootball.com/player/9992257/Jonathan_Taylor,RB,2022,IND,11,524,70.2,192,861,4,40,28,143,0,3
9990905,Christian McCaffrey,https://dynastyleaguefootball.com/player/9990905/Christian_McCaffrey,RB,2017,CAR,16,758,70.2,117,435,2,113,80,651,5,1
9990905,Christian McCaffrey,https://dynastyleaguefootball.com/player/9990905/Christian_McCaffrey,RB,2018,CAR,16,965,91.3,219,1098,7,124,107,867,6,1
9990905,Christian McCaffrey,https://dynastyleaguefootball.com/player/9990905/Christian_McCaffrey,RB,2019,CAR,16,1056,93.4,287,1387,15,143,116,1005,4,0
9990905,Christian McCaffrey,https://dynastyleaguefootball.com/player/9990905/Christian_McCaffrey,RB,2020,CAR,3,171,76.7,59,224,5,19,17,146,1,0
9990905,Christian McCaffrey,https://dynastyleaguefootball.com/player/9990905/Christian_McCaffrey,RB,2021,CAR,7,272,59.9,99,442,1,41,37,343,1,0
9990905,Christian McCaffrey,https://dynastyleaguefootball.com/player/9990905/Christian_McCaffrey,RB,2022,SF,16,746,74.7,234,1094,8,105,82,707,4,0
9992207,Saquon Barkley,https://dynastyleaguefootball.com/player/9992207/Saquon_Barkley,RB,2018,NYG,16,853,83.0,261,1307,11,121,91,721,4,0
9992207,Saquon Barkley,https://dynastyleaguefootball.com/player/9992207/Saquon_Barkley,RB,2019,NYG,13,737,83.4,217,1003,6,73,52,438,2,0
9992207,Saquon Barkley,https://dynastyleaguefootball.com/player/9992207/Saquon_Barkley,RB,2020,NYG,2,67,50.4,19,34,0,9,6,60,0,0
9992207,Saquon Barkley,https://dynastyleaguefootball.com/player/9992207/Saquon_Barkley,RB,2021,NYG,12,477,61.5,151,563,2,53,38,244,2,1
9992207,Saquon Barkley,https://dynastyleaguefootball.com/player/9992207/Saquon_Barkley,RB,2022,NYG,16,856,79.9,295,1312,10,76,57,338,0,0
9992167,Austin Ekeler,https://dynastyleaguefootball.com/player/9992167/Austin_Ekeler,RB,2017,LAC,14,197,21.4,47,260,2,35,27,279,3,2
9992167,Austin Ekeler,https://dynastyleaguefootball.com/player/9992167/Austin_Ekeler,RB,2018,LAC,14,348,40.6,106,554,2,53,39,404,3,1
9992167,Austin Ekeler,https://dynastyleaguefootball.com/player/9992167/Austin_Ekeler,RB,2019,LAC,16,609,56.9,132,557,3,108,92,993,8,2
9992167,Austin Ekeler,https://dynastyleaguefootball.com/player/9992167/Austin_Ekeler,RB,2020,LAC,10,411,57.9,116,530,1,65,54,403,2,0
9992167,Austin Ekeler,https://dynastyleaguefootball.com/player/9992167/Austin_Ekeler,RB,2021,LAC,15,653,62.7,190,847,11,82,65,612,7,3
